,seed_mof_name,seed_mof_string,seed_edge_selfies,seed_edge_smiles,seed_targets,dreamed_mof_name,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_targets
189,dmp_N492_edge127840,[F][C][Branch][:0benzene][Branch][FrH0][pop][Ring2][F][pop][pop][=C][FrH0][.][O][=C][Branch1][C][Fr][O][Be][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][dmp],[F][C][Branch][:0benzene][Branch][FrH0][pop][Ring2][F][pop][pop][=C][FrH0],FC(=C[Fr])c1ccc([Fr])cc1F,"[-11.163533, 0.83072317]",dmp_N492_FC(=C[Fr])c1ccc([Fr])cc1F,[F][C][=Branch][=C][FrH0][pop][:0benzene][Branch][FrH0][pop][Ring2][F][pop][:3pyrimidine][=P][=P][=P][:1imidazole][Cl][=P][:0propyl][.][O][=C][Branch1][C][Fr][O][Be][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][dmp],[F][C][=Branch][=C][FrH0][pop][:0benzene][Branch][FrH0][pop][Ring2][F][pop][:3pyrimidine][=P][=P][=P][:1imidazole][Cl][=P][:0propyl],CCCPc1cncn1P=[PH]=Pc1cc([Fr])cc(F)c1C(F)=C[Fr],"[41.1592208487, 5.00392587043824]"
309,ths_N186_edge97327,[F][C][=C][N][Branch][C][Branch][N][Branch][N][Branch][N][Branch][FrH0][pop][Ring1][#Branch][pop][F][pop][F][pop][Branch][F][pop][F][pop][FrH0][.][Fr][C][=N][Ag][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][ths],[F][C][=C][N][Branch][C][Branch][N][Branch][N][Branch][N][Branch][FrH0][pop][Ring1][#Branch][pop][F][pop][F][pop][Branch][F][pop][F][pop][FrH0],FC1=CN([Fr])C(F)(F)N(F)N(F)N1[Fr],"[-3.0733893, 0.21457094]",ths_N186_FC1=CN([Fr])C(F)(F)N(F)N(F)N1[Fr],[:0methyl][:0benzenediol][:0benzenediol][:0benzenediol][Branch][:0benzenediol][#N][N][FrH0][pop][pop][Ring1][S][S][FrH0][pop][pop][#Branch][:2imidazole][:0benzenealcohol][C][:=0methyl_amine][:0benzenealcohol][#N][#N][:3pyrimidine][Cl][:1imidazole][Cl][:1amide][:1alkyne][Cl][FrH0][:0propyl][:1methyl_amine][:2pyridine][:2pyrimidine][:0propyl][.][Fr][C][=N][Ag][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][ths],[:0methyl][:0benzenediol][:0benzenediol][:0benzenediol][Branch][:0benzenediol][#N][N][FrH0][pop][pop][Ring1][S][S][FrH0][pop][pop][#Branch][:2imidazole][:0benzenealcohol][C][:=0methyl_amine][:0benzenealcohol][#N][#N][:3pyrimidine][Cl][:1imidazole][Cl][:1amide][:1alkyne][Cl][FrH0][:0propyl][:1methyl_amine][:2pyridine][:2pyrimidine][:0propyl],CCc1c(O)ccc(SS[Fr])c1Oc1c(O)cccc1ON[Fr],"[32.6772290644, 4.369979203689842]"
1803,sod_N719_edge30508,[:0alkene][C][C][C][C][Branch][C][N][Branch][FrH0][pop][Ring1][Branch][pop][FrH0][pop][.][Fr][C][=C][N][Cu][Branch2][Ring1][Branch1][N][C][Branch1][#Branch2][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][=C][Ring1][#Branch2][C][=C][Ring1][=C][N][C][Branch1][=C][C][N][Ring1][#C][C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][&&][sod],[:0alkene][C][C][C][C][Branch][C][N][Branch][FrH0][pop][Ring1][Branch][pop][FrH0][pop],O=CC1CC([Fr])CN1[Fr],"[-8.037343, 0.6956958]",sod_N719_O=CC1CC([Fr])CN1[Fr],[:0propyl][C][:0pyrimidine][:0benzenediol][:0benzenediol][Ring2][FrH0][pop][pop][Ring1][:0pyrimidine][Ring1][:0benzenediol][Ring1][:0pyrimidine][Ring1][FrH0][:0benzenealcohol][S][pop][:0benzenealcohol][pop][.][Fr][C][=C][N][Cu][Branch2][Ring1][Branch1][N][C][Branch1][#Branch2][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][=C][Ring1][#Branch2][C][=C][Ring1][=C][N][C][Branch1][=C][C][N][Ring1][#C][C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][&&][sod],[:0propyl][C][:0pyrimidine][:0benzenediol][:0benzenediol][Ring2][FrH0][pop][pop][Ring1][:0pyrimidine][Ring1][:0benzenediol][Ring1][:0pyrimidine][Ring1][FrH0][:0benzenealcohol][S][pop][:0benzenealcohol][pop],CCCc1ncc(-c2nccc(-c3c(O)cccc3Oc3ncc(S)c([Fr])n3)n2)c(-c2c(O)ccc([Fr])c2O)n1,"[37.5299190184, 11.699647254772618]"
917,gis_N583_edge111497,[FrH0][C][=S][C][Branch][N][Branch][FrH0][pop][C][Branch][:0methyl][pop][Ring1][=Branch][pop][:0methyl][.][O][=C][Branch1][C][Fr][O][In][Branch2][Ring2][=Branch1][O][C][Branch1][C][Fr][O][In][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][O][C][Branch1][C][Fr][=O][&&][gis],[FrH0][C][=S][C][Branch][N][Branch][FrH0][pop][C][Branch][:0methyl][pop][Ring1][=Branch][pop][:0methyl],CCC1[SH]=C([Fr])C(CC)N1[Fr],"[-12.785426, 1.5056142]",gis_N583_CCC1[SH]=C([Fr])C(CC)N1[Fr],[:0propyl][#N][:0benzenediol][:0benzenediol][:0benzenediol][:0propyl][FrH0][pop][pop][Ring2][:0methyl][pop][:1imidazole][:1imidazole][:0amide][:0methyl][:1amide][:0phosphoric_acid][:0benzenediol][FrH0][:0propyl][pop][:4benzenealcohol][FrH0][:0benzenediol][pop][pop][pop][pop][:1imidazole][:2pyridine][:3pyrimidine][:2benzenealcohol][:3pyrimidine][.][O][=C][Branch1][C][Fr][O][In][Branch2][Ring2][=Branch1][O][C][Branch1][C][Fr][O][In][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][O][C][Branch1][C][Fr][=O][&&][gis],[:0propyl][#N][:0benzenediol][:0benzenediol][:0benzenediol][:0propyl][FrH0][pop][pop][Ring2][:0methyl][pop][:1imidazole][:1imidazole][:0amide][:0methyl][:1amide][:0phosphoric_acid][:0benzenediol][FrH0][:0propyl][pop][:4benzenealcohol][FrH0][:0benzenediol][pop][pop][pop][pop][:1imidazole][:2pyridine][:3pyrimidine][:2benzenealcohol][:3pyrimidine],CCCOc1c([Fr])ccc(O)c1-c1ncn(-c2c(CC)cc(Oc3c(O)cccc3O[Fr])c(CCC)c2O)c1CC,"[42.2234878399, 6.966177687347892]"
271,crb_N553_edge24108,[FrH0][O][C][=C][C][Branch][C][FrH0][pop][S][C][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Zn][Branch2][Ring2][S][O][C][O][Zn][Branch1][Branch2][O][C][=Ring1][Branch1][O][Ring1][Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch2][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][=C][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][crb],[FrH0][O][C][=C][C][Branch][C][FrH0][pop][S][C],CSC(C=CO[Fr])C[Fr],"[-5.322413, 0.36763763]",crb_N553_CSC(C=CO[Fr])C[Fr],[FrH0][:0pyrimidine][:0pyrimidine][:0propyl][:0propyl][:4benzenealcohol][:0benzenediol][:0propyl][Cl][:1amide][Cl][=Ring2][:0benzenediol][:0benzenediol][:0benzenediol][:0propyl][:0benzenediol][:0benzenediol][:1methyl_amine][:0propyl][:1methyl_amine][FrH0][:0benzenediol][FrH0][:1methyl_amine][:0amide][:0pyrimidine][:0pyrimidine][FrH0][:0pyrimidine][:0benzenediol][:0benzenediol][:0pyrimidine][:0pyrimidine][:0benzenediol][:1methyl_amine][:0benzenediol][S][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Zn][Branch2][Ring2][S][O][C][O][Zn][Branch1][Branch2][O][C][=Ring1][Branch1][O][Ring1][Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch2][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][=C][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][crb],[FrH0][:0pyrimidine][:0pyrimidine][:0propyl][:0propyl][:4benzenealcohol][:0benzenediol][:0propyl][Cl][:1amide][Cl][=Ring2][:0benzenediol][:0benzenediol][:0benzenediol][:0propyl][:0benzenediol][:0benzenediol][:1methyl_amine][:0propyl][:1methyl_amine][FrH0][:0benzenediol][FrH0][:1methyl_amine][:0amide][:0pyrimidine][:0pyrimidine][FrH0][:0pyrimidine][:0benzenediol][:0benzenediol][:0pyrimidine][:0pyrimidine][:0benzenediol][:1methyl_amine][:0benzenediol][S],CCCc1nc([Fr])ncc1-c1c(O)cc(-c2c(O)cccc2Oc2c(O)cccc2Oc2c(O)cccc2OCNCNc2c(O)cccc2OCNc2ncc(-c3c(O)cccc3Oc3nccc(-c4c(O)cccc4Oc4c(O)cccc4O)n3)c([Fr])n2)c(Cl)c1OCl,"[34.2997822249, 6.495747725416956]"
706,dia-f_N447_edge77634,[FrH0][C][C][Branch][C][pop][Branch][C][pop][C][Branch][C][pop][=C][Branch][N][Branch][FrH0][pop][C][Branch][C][pop][Ring1][=N][pop][C][.][Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2][&&][dia-f],[FrH0][C][C][Branch][C][pop][Branch][C][pop][C][Branch][C][pop][=C][Branch][N][Branch][FrH0][pop][C][Branch][C][pop][Ring1][=N][pop][C],CC1=C(C)C(C)(C)C([Fr])C(C)N1[Fr],"[-10.923149, 1.0721678]",dia-f_N447_CC1=C(C)C(C)(C)C([Fr])C(C)N1[Fr],[:0propyl][C][:0pyrimidine][Ring1][:0pyrimidine][Ring1][:0benzenediol][Branch][FrH0][pop][pop][Ring1][P][=P][=Branch][:=1methyl_amine][Ring1][:0sulfonic_acid][Ring1][C][pop][pop][pop][:0propyl][pop][Ring1][FrH0][pop][pop][Ring2][:3pyrimidine][pop][pop][.][Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2][&&][dia-f],[:0propyl][C][:0pyrimidine][Ring1][:0pyrimidine][Ring1][:0benzenediol][Branch][FrH0][pop][pop][Ring1][P][=P][=Branch][:=1methyl_amine][Ring1][:0sulfonic_acid][Ring1][C][pop][pop][pop][:0propyl][pop][Ring1][FrH0][pop][pop][Ring2][:3pyrimidine][pop][pop],CCCc1nc(-c2ccncn2)cc(-c2nc([Fr])c(P=P(=CNOS(C)=O)CCC)c(-c3c(O)cc([Fr])cc3O)n2)n1,"[38.9673613407, 11.654861892188235]"
1066,srs_N515_edge134253,[N][C][=Branch][=C][C][:1methyl_amine][Ring1][C][Branch][C][Branch][C][C][Branch][FrH0][pop][N][pop][Branch][O][pop][N][pop][Branch][N][pop][N][pop][pop][FrH0][.][Fr][C][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][Branch2][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][srs],[N][C][=Branch][=C][C][:1methyl_amine][Ring1][C][Branch][C][Branch][C][C][Branch][FrH0][pop][N][pop][Branch][O][pop][N][pop][Branch][N][pop][N][pop][pop][FrH0],NC([Fr])=CCCNC(N)(N)C(N)(O)CC(N)[Fr],"[-6.5234413, 0.579944]",srs_N515_NC([Fr])=CCCNC(N)(N)C(N)(O)CC(N)[Fr],[:0amide][C][=S][P][C][Branch][:0benzenealcohol][pop][FrH0][FrH0][FrH0][S][S][S][:0benzenediol][:0benzenediol][:1pyrimidine][:2pyrimidine][:1pyrimidine][:0benzenediol][:0benzenediol][:0benzenediol][:0benzenediol][:2pyridine][:1imidazole][:3pyrimidine][:1pyrimidine][:1pyrimidine][:1alkyne][Ring2][:1pyridine][:=1methyl_amine][:0benzenediol][:0benzenediol][:2pyridine][:0benzenediol][:0benzenediol][:2pyridine][:2pyridine][.][Fr][C][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][Branch2][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][srs],[:0amide][C][=S][P][C][Branch][:0benzenealcohol][pop][FrH0][FrH0][FrH0][S][S][S][:0benzenediol][:0benzenediol][:1pyrimidine][:2pyrimidine][:1pyrimidine][:0benzenediol][:0benzenediol][:0benzenediol][:0benzenediol][:2pyridine][:1imidazole][:3pyrimidine][:1pyrimidine][:1pyrimidine][:1alkyne][Ring2][:1pyridine][:=1methyl_amine][:0benzenediol][:0benzenediol][:2pyridine][:0benzenediol][:0benzenediol][:2pyridine][:2pyridine],O=C([Fr])N=[SH]PC([Fr])c1ccccc1O,"[34.49404681, 3.2635841806633312]"
153,crs_N283_edge87543,[P][C][Branch][C][O][N][Branch][O][FrH0][pop][P][pop][=C][C][Branch][O][FrH0][pop][P][.][O][C][Branch1][C][Fr][O][Cu][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][crs],[P][C][Branch][C][O][N][Branch][O][FrH0][pop][P][pop][=C][C][Branch][O][FrH0][pop][P],PC(=CC(P)O[Fr])CON(P)O[Fr],"[-18.358694, 1.9397984]",crs_N283_PC(=CC(P)O[Fr])CON(P)O[Fr],[P][C][Branch][C][Branch][N][Branch][O][FrH0][pop][P][pop][=C][:0benzenediol][Branch][=S][FrH0][#Branch][P][=S][:0methyl][:0methyl][:0benzenediol][:=0methyl_amine][:0benzenealcohol][:0benzenealcohol][pop][pop][:3pyrimidine][:2pyrimidine][:3pyrimidine][:1sulfonic_acid][:3pyrimidine][:0benzenediol][:0propyl][:0benzenediol][:3pyrimidine][:1methyl_amine][:1methyl_amine][.][O][C][Branch1][C][Fr][O][Cu][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][crs],[P][C][Branch][C][Branch][N][Branch][O][FrH0][pop][P][pop][=C][:0benzenediol][Branch][=S][FrH0][#Branch][P][=S][:0methyl][:0methyl][:0benzenediol][:=0methyl_amine][:0benzenealcohol][:0benzenealcohol][pop][pop][:3pyrimidine][:2pyrimidine][:3pyrimidine][:1sulfonic_acid][:3pyrimidine][:0benzenediol][:0propyl][:0benzenediol][:3pyrimidine][:1methyl_amine][:1methyl_amine],CC[SH]=Pc1c(O)c(C=C(CP)N(P)O[Fr])c(Oc2cncnc2S(=O)Oc2c(O)cccc2Oc2c(O)cccc2OCN)c(NCc2ccccc2O)c1S[Fr],"[46.0942293015, 8.298086400327858]"
735,gis_N645_edge14778,[O][C][Branch][C][S][C][Branch][FrH0][pop][O][pop][C][FrH0][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][N][N][Branch1][#C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring2][Ring1][Ring1][Ring1][=Branch2][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][&&][gis],[O][C][Branch][C][S][C][Branch][FrH0][pop][O][pop][C][FrH0],OC(C[Fr])CSC(O)[Fr],"[-9.1928, 0.9283919]",gis_N645_OC(C[Fr])CSC(O)[Fr],[:0benzenediol][#Branch][:0benzenediol][Ring1][:3pyrimidine][pop][pop][#Branch][pop][pop][:0pyrimidine][Ring1][:2pyridine][pop][Ring1][:1pyrimidine][Ring1][C][=Branch][=S][=C][C][=C][FrH0][pop][:1imidazole][pop][pop][Ring1][FrH0][pop][pop][pop][:1pyrimidine][:2benzenealcohol][:0benzenediol][=P][:1imidazole][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][N][N][Branch1][#C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring2][Ring1][Ring1][Ring1][=Branch2][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][&&][gis],[:0benzenediol][#Branch][:0benzenediol][Ring1][:3pyrimidine][pop][pop][#Branch][pop][pop][:0pyrimidine][Ring1][:2pyridine][pop][Ring1][:1pyrimidine][Ring1][C][=Branch][=S][=C][C][=C][FrH0][pop][:1imidazole][pop][pop][Ring1][FrH0][pop][pop][pop][:1pyrimidine][:2benzenealcohol][:0benzenediol][=P][:1imidazole],Oc1ccc(-c2cc(Oc3c(O)cccc3Oc3ccncn3)cc(Oc3ncncc3C(=S=CC=C[Fr])n3ccnc3)c2[Fr])c(Pn2ccnc2)c1,"[36.4786987822, 6.146956590259909]"
1521,bcu_N372_edge180420,[S][=C][C][Branch][O][FrH0][pop][C][C][=C][C][=Branch][=N][Ring1][Ring2][pop][C][C][O][FrH0][.][Fr][C][O][Co][Branch1][Ring2][O][Ring1][Ring2][Branch2][Branch1][Ring2][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][bcu],[S][=C][C][Branch][O][FrH0][pop][C][C][=C][C][=Branch][=N][Ring1][Ring2][pop][C][C][O][FrH0],S=CC(CC1=CC(CCO[Fr])=N1)O[Fr],"[-13.288801, 1.2209157]",bcu_N372_S=CC(CC1=CC(CCO[Fr])=N1)O[Fr],[P][:0benzenediol][O][O][=C][:3benzenediol][Ring1][=P][=P][:=0methyl_amine][:1pyrimidine][SH2][FrH0][=P][:2pyrimidine][:2pyrimidine][:4benzenediol][:0amide][P][P][:0amide][:0benzenealcohol][P][:0pyrimidine][:2benzenealcohol][:2benzenealcohol][:2pyrimidine][S][:2benzenealcohol][:2pyrimidine][:0benzene][:0benzene][:0benzene][:2pyridine][FrH0][=Branch][:1methyl_amine][pop][:2pyrimidine][.][Fr][C][O][Co][Branch1][Ring2][O][Ring1][Ring2][Branch2][Branch1][Ring2][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][bcu],[P][:0benzenediol][O][O][=C][:3benzenediol][Ring1][=P][=P][:=0methyl_amine][:1pyrimidine][SH2][FrH0][=P][:2pyrimidine][:2pyrimidine][:4benzenediol][:0amide][P][P][:0amide][:0benzenealcohol][P][:0pyrimidine][:2benzenealcohol][:2benzenealcohol][:2pyrimidine][S][:2benzenealcohol][:2pyrimidine][:0benzene][:0benzene][:0benzene][:2pyridine][FrH0][=Branch][:1methyl_amine][pop][:2pyrimidine],NCc1cccc([Fr])c1-c1ccccc1-c1cc(O)ccc1Sc1cc(O)ccc1-c1ccnc(PC(=O)NPC(=O)Nc2ncncc2Oc2cc(O)cc(COOc3cccc(O)c3P)c2P=[PH]=NC[SH2][Fr])n1,"[40.4759064166, 5.622069162265282]"
954,bcu_N348_edge125373,[P][C][=C][C][=Branch][=C][C][Branch][FrH0][pop][Ring1][Branch][pop][C][C][FrH0][.][Fr][C][O][Fe][O][Fe][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch1][Branch2][=Branch1][Branch1][O][C][Branch1][C][Fr][O][Fe][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch2][Ring2][=N][O][Fe][Branch1][Branch1][O][Ring2][Ring1][Ring1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring2][O][Ring2][Ring2][C][O][Ring2][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring2][Branch1][&&][bcu],[P][C][=C][C][=Branch][=C][C][Branch][FrH0][pop][Ring1][Branch][pop][C][C][FrH0],PC1=CC(CC[Fr])=CC1[Fr],"[-23.931519, 2.7145424]",bcu_N348_PC1=CC(CC[Fr])=CC1[Fr],[=S][=S][=S][C][#Branch][:=1methyl_amine][Ring1][FrH0][S][:4benzenediol][C][=S][=S][#Branch][=S][C][:4benzenediol][:4benzenediol][:0methyl][:0methyl][P][=S][S][S][=S][=S][=S][=S][:0methyl][=S][:0methyl][Branch][Branch][Branch][:0methyl][:0methyl][:0propyl][FrH0][Cl][.][Fr][C][O][Fe][O][Fe][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch1][Branch2][=Branch1][Branch1][O][C][Branch1][C][Fr][O][Fe][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch2][Ring2][=N][O][Fe][Branch1][Branch1][O][Ring2][Ring1][Ring1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring2][O][Ring2][Ring2][C][O][Ring2][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring2][Branch1][&&][bcu],[=S][=S][=S][C][#Branch][:=1methyl_amine][Ring1][FrH0][S][:4benzenediol][C][=S][=S][#Branch][=S][C][:4benzenediol][:4benzenediol][:0methyl][:0methyl][P][=S][S][S][=S][=S][=S][=S][:0methyl][=S][:0methyl][Branch][Branch][Branch][:0methyl][:0methyl][:0propyl][FrH0][Cl],CCOc1c([Fr])cc(C[SH]=S=[SH]Oc2cc(O)ccc2C(=CN[Fr])[SH]=S=S)c(OCC)c1SS[SH]=S=S=S=[SH]CC,"[50.9268657079, 6.86341709523501]"
1091,pcu_N696_edge19926,[Br][C][Branch][N][Branch][C][Branch][C][Branch][C][C][FrH0][pop][Branch][Br][pop][Br][pop][Branch][Br][pop][Br][pop][Br][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][=O][&&][pcu],[Br][C][Branch][N][Branch][C][Branch][C][Branch][C][C][FrH0][pop][Branch][Br][pop][Br][pop][Branch][Br][pop][Br][pop][Br][pop][FrH0],BrC([Fr])N(Br)C(Br)(Br)C(Br)(Br)CC[Fr],"[-14.444311, 1.6649376]",pcu_N696_BrC([Fr])N(Br)C(Br)(Br)C(Br)(Br)CC[Fr],[:0propyl][C][C][Branch][Cl][pop][:0benzenediol][Ring1][FrH0][pop][Ring1][:4benzenealcohol][Ring2][:0methyl][pop][Ring1][:0benzenediol][pop][Ring1][P][FrH0][pop][pop][Ring1][P][:2pyridine][Ring1][:3pyrimidine][Ring1][:2imidazole][pop][pop][pop][pop][.][O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][=O][&&][pcu],[:0propyl][C][C][Branch][Cl][pop][:0benzenediol][Ring1][FrH0][pop][Ring1][:4benzenealcohol][Ring2][:0methyl][pop][Ring1][:0benzenediol][pop][Ring1][P][FrH0][pop][pop][Ring1][P][:2pyridine][Ring1][:3pyrimidine][Ring1][:2imidazole][pop][pop][pop][pop],CCCC(Cl)c1c(O)cc(Pc2ccncc2-c2ccnc(-c3cnc[nH]3)n2)c(-c2cc(P[Fr])c(-c3c(O)cccc3O)c(CC)c2O)c1O[Fr],"[41.3212193399, 3.487455191729863]"
